Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10853886,"Scarecrow Returns (Shane Schofield, #5)",Matthew Reilly,"Reilly, Matthew",,"=""1416577599""","=""9781416577591""",4,4.28,Simon & Schuster,Hardcover,350,2012,2012,,2018/11/04,,,read,,,,1,0
144773,Contest,Matthew Reilly,"Reilly, Matthew",,"=""0312286252""","=""9780312286255""",4,3.99,Thomas Dunne Books,Hardcover,330,2003,1996,,2018/11/04,,,read,,,,1,0
144789,"Scarecrow (Shane Schofield, #3)",Matthew Reilly,"Reilly, Matthew",,"=""0312937660""","=""9780312937669""",4,4.23,St. Martin's Paperbacks,Paperback,464,2005,2003,,2018/11/04,,,read,,,,1,0
144793,"Area 7 (Shane Schofield, #2)",Matthew Reilly,"Reilly, Matthew",,"=""0312983220""","=""9780312983222""",4,4.11,St. Martin's Paperbacks,Mass Market Paperback,507,2003,2001,,2018/11/04,,,read,,,,1,0
144792,Temple,Matthew Reilly,"Reilly, Matthew",,"=""0312981260""","=""9780312981266""",4,4.05,St. Martin's Paperbacks,Mass Market Paperback,523,2002,1999,,2018/11/04,,,read,,,,1,0
617526,"The Six Sacred Stones (Jack West Jr, #2)",Matthew Reilly,"Reilly, Matthew",,"=""1405038160""","=""9781405038164""",4,4.19,Macmillan Australia,Hardcover,506,2007,2007,,2018/11/04,,,read,,,,1,0
144791,"Seven Deadly Wonders (Jack West Jr, #1)",Matthew Reilly,"Reilly, Matthew",,"=""1416505067""","=""9781416505068""",4,4.09,Pocket Books,Mass Market Paperback,547,2006,2005,,2018/11/04,,,read,,,,1,0
144790,"Ice Station (Shane Schofield, #1)",Matthew Reilly,"Reilly, Matthew",,"=""0312971230""","=""9780312971236""",4,4.12,St. Martin's Paperbacks,Mass Market Paperback,513,2000,1998,,2018/11/04,,,read,,,,1,0
42058,Richard III,William Shakespeare,"Shakespeare, William",John Jowett,"=""0192839934""","=""9780192839930""",5,3.91,Oxford University Press,Paperback,419,2000,1593,,2018/11/04,,,read,,,,1,0
1622,A Midsummer Night’s Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller","=""0743477545""","=""9780743477543""",3,3.95,Simon & Schuster,Mass Market Paperback,298,2016,1595,,2018/11/04,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",4,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2018/11/04,,,read,,,,1,0
6870,Enduring Love,Ian McEwan,"McEwan, Ian",,"=""0099481243""","=""9780099481249""",4,3.65,Vintage Books,Paperback,245,2006,1997,,2018/11/04,,,read,,,,1,0
886785,Modern Architecture Since 1900,William J.R. Curtis,"Curtis, William J.R.",,"=""0714833568""","=""9780714833569""",5,4.11,Phaidon Press,Paperback,736,1996,1982,,2018/11/04,,,read,,,,1,0
207129,Complexity and Contradiction in Architecture,Robert Venturi,"Venturi, Robert","Arthur Drexler, Vincent Scully","=""0870702823""","=""9780870702822""",4,4.09,"The Museum of Modern Art, New York",Paperback,136,1977,1957,,2018/11/04,,,read,,,,1,0
118108,Delirious New York: A Retroactive Manifesto for Manhattan,Rem Koolhaas,"Koolhaas, Rem",,"=""1885254008""","=""9781885254009""",5,4.25,The Monacelli Press,Paperback,320,1997,1978,,2018/11/04,,,read,,,,1,0
79006,Honor Among Thieves,Jeffrey Archer,"Archer, Jeffrey",,"=""0312933533""","=""9780312933531""",4,3.87,St. Martin's Paperbacks,Mass Market Paperback,480,2004,1993,,2018/11/04,,,read,,,,1,0
78989,"Shall We Tell the President? (Kane & Abel, #3)",Jeffrey Archer,"Archer, Jeffrey",,"=""0449208060""","=""9780449208069""",4,3.81,Fawcett,Paperback,228,1985,1977,,2018/11/04,,,read,,,,1,0
1611988,A Prisoner of Birth,Jeffrey Archer,"Archer, Jeffrey",,"=""0312379293""","=""9780312379292""",4,4.20,St. Martin's Press,Hardcover,501,2008,2008,,2018/11/04,,,read,,,,1,0
78987,"The Prodigal Daughter (Kane & Abel, #2)",Jeffrey Archer,"Archer, Jeffrey",,"=""0312997140""","=""9780312997144""",4,3.98,St. Martin's Paperbacks,Mass Market Paperback,485,2004,1982,,2018/11/04,,,read,,,,1,0
78982,"Not a Penny More, Not a Penny Less",Jeffrey Archer,"Archer, Jeffrey",,"=""0312997132""","=""9780312997137""",4,4.04,St. Martin's Paperbacks,Mass Market Paperback,305,2004,1976,,2018/11/04,,,read,,,,1,0
15793074,"Best Kept Secret (The Clifton Chronicles, #3)",Jeffrey Archer,"Archer, Jeffrey",,"=""125000098X""","=""9781250000989""",4,4.03,St. Martin's Press,Hardcover,373,2013,2013,,2018/11/04,,,read,,,,1,0
12160906,"The Sins of the Father (The Clifton Chronicles, #2)",Jeffrey Archer,"Archer, Jeffrey",,"=""1250000971""","=""9781250000972""",3,4.10,St. Martin's Press,Hardcover,352,2012,2012,,2018/11/04,,,read,,,,1,0
